
> lifeos@0.1.0 dev
> next dev -H 127.0.0.1

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env
✓ Ready in 231ms
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'allowedDevOrigins' at "experimental"
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
- Experiments (use with caution):
  ? allowedDevOrigins (invalid experimental key)

 GET /integrations?code=AQBhbVmqx0FoG0tt1rUxjjJ_Q02x63tXCoYX0kaMn0_wukx-QzLlNeFnBwQm8zngj5CvK1sQijofjURP28wdy2E1LuWsnAC7kFQOpMp3DIM0B8FVY5HTvXcBk-Id9MJgUCmTmO674BqIBJxOEMVOKBLU9OwgzLvNOLOFvDIZ1yOZxQ8uyrVwfK7J1mbdNWUI133DpPTZJkQPDVXX5HKKKIUNJ-lLx7y5mGo9u2xkTBCGRqJ8R6IrmMmkWmlbmUduV57O_DC2-glHgqO2ztJZWsoZAKwL-3WgditDGZoEzFfXQz9pjxo1b5UbbKHXGRzuT1niu3DtOAI7zxG45ONFASVXvCb2dzjM6_lq3pekY-5MJYQGsHyN0xzfJY9t5FH7H5ZNcHh_OrYRwhybprsnKPAPbm8g_tx3GyaCgnaTt-3tBzHgRTicbwc0-em5DRFTDaTZd4RXiFcYTRhVQ92t7MllAZsYbNehmA 200 in 48ms (next.js: 1552µs, application-code: 46ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 4ms, application-code: 4ms)
 GET /api/db/userSettings 200 in 28ms (next.js: 1287µs, application-code: 27ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 971µs, application-code: 3ms)
 POST /api/spotify/token 200 in 188ms (next.js: 23ms, application-code: 165ms)
 PUT /api/db/userSettings 200 in 4ms (next.js: 710µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 2ms (next.js: 652µs, application-code: 1480µs)
 GET /api/db/userSettings 200 in 3ms (next.js: 704µs, application-code: 3ms)
 GET /integrations 200 in 5ms (next.js: 1313µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 2ms, application-code: 3ms)
 GET /integrations 200 in 30ms (next.js: 1769µs, application-code: 28ms)
 GET /api/db/userSettings 200 in 11ms (next.js: 5ms, application-code: 6ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 1996µs, application-code: 3ms)
 POST /api/spotify/token 400 in 137ms (next.js: 2ms, application-code: 134ms)
 GET /api/db/userSettings 200 in 2ms (next.js: 694µs, application-code: 1649µs)
 GET /spotify 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET /api/db/userSettings 200 in 17ms (next.js: 12ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 916µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 788µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 2ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 10ms (next.js: 5ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 9ms (next.js: 5ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 3ms, application-code: 4ms)
 GET / 200 in 12ms (next.js: 2ms, application-code: 10ms)
 GET /api/db/project 200 in 20ms (next.js: 4ms, application-code: 17ms)
 GET /api/db/trade 200 in 21ms (next.js: 6ms, application-code: 15ms)
 GET /api/db/fitnessEntry 200 in 22ms (next.js: 11ms, application-code: 11ms)
 GET /api/db/habitEntry 200 in 22ms (next.js: 13ms, application-code: 9ms)
 GET /api/db/timelineEvent 200 in 23ms (next.js: 14ms, application-code: 8ms)
 GET /api/db/userSettings 200 in 23ms (next.js: 16ms, application-code: 7ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 1022µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1732µs, application-code: 2ms)
 GET / 200 in 51ms (next.js: 1737µs, application-code: 49ms)
 GET /api/db/project 200 in 16ms (next.js: 3ms, application-code: 12ms)
 GET /api/db/trade 200 in 16ms (next.js: 5ms, application-code: 11ms)
 GET /api/db/fitnessEntry 200 in 17ms (next.js: 7ms, application-code: 10ms)
 GET /api/db/habitEntry 200 in 17ms (next.js: 8ms, application-code: 9ms)
 GET /api/db/timelineEvent 200 in 18ms (next.js: 10ms, application-code: 8ms)
 GET /api/db/userSettings 200 in 18ms (next.js: 11ms, application-code: 8ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 817µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 7ms (next.js: 3ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 13ms (next.js: 6ms, application-code: 6ms)
 GET /api/db/userSettings 200 in 6ms (next.js: 3ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 956µs, application-code: 1793µs)
 GET /api/db/userSettings 200 in 6ms (next.js: 3ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1007µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 796µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1124µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 3ms, application-code: 2ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 742µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 947µs, application-code: 1723µs)
 GET /api/db/userSettings 200 in 4ms (next.js: 1802µs, application-code: 2ms)
